ANO4,PONDERA,CH04,CH06,CH07,CH08,NIVEL_ED,ESTADO,CAT_INAC,IPCF,CAT_OCUP,PP07H,P21,PP04A,PP04C
2005,1211.0,1.0,13.0,5.0,4.0,3.0,3.0,3.0,30.0,0.0,0.0,0.0,,
2005,1381.0,1.0,77.0,2.0,1.0,6.0,3.0,1.0,2100.0,0.0,0.0,0.0,,
2005,1381.0,2.0,73.0,2.0,1.0,4.0,3.0,4.0,2100.0,0.0,0.0,0.0,,
2005,1465.0,2.0,47.0,3.0,2.0,4.0,1.0,0.0,600.0,3.0,2.0,400.0,2.0,3.0
2005,1465.0,1.0,14.0,5.0,2.0,3.0,3.0,3.0,600.0,0.0,0.0,0.0,,
2005,1465.0,1.0,9.0,5.0,2.0,1.0,4.0,3.0,600.0,0.0,0.0,0.0,,
2005,1465.0,1.0,6.0,5.0,2.0,1.0,4.0,3.0,600.0,0.0,0.0,0.0,,
2005,1417.0,1.0,62.0,2.0,4.0,2.0,1.0,0.0,350.0,2.0,0.0,700.0,2.0,1.0
2005,1417.0,2.0,67.0,2.0,4.0,3.0,3.0,4.0,350.0,0.0,0.0,0.0,,
2005,1333.0,1.0,69.0,2.0,12.0,4.0,3.0,1.0,600.0,0.0,0.0,0.0,,
2005,1333.0,2.0,63.0,2.0,12.0,6.0,3.0,4.0,600.0,0.0,0.0,0.0,,
2005,1200.0,1.0,47.0,2.0,1.0,6.0,1.0,0.0,650.0,3.0,1.0,1500.0,2.0,7.0
2005,1200.0,2.0,44.0,2.0,1.0,6.0,1.0,0.0,650.0,3.0,2.0,500.0,2.0,
2005,1200.0,2.0,14.0,5.0,1.0,3.0,3.0,3.0,650.0,0.0,0.0,0.0,,
2005,1200.0,1.0,11.0,5.0,1.0,1.0,3.0,3.0,650.0,0.0,0.0,0.0,,
2005,1131.0,1.0,41.0,1.0,2.0,4.0,1.0,0.0,1633.3333333333333,1.0,0.0,2000.0,2.0,5.0
2005,1131.0,2.0,47.0,1.0,2.0,6.0,1.0,0.0,1633.3333333333333,3.0,1.0,2100.0,2.0,9.0
2005,1131.0,1.0,7.0,5.0,2.0,1.0,4.0,3.0,1633.3333333333333,0.0,0.0,0.0,,
2005,1131.0,2.0,33.0,5.0,4.0,2.0,1.0,0.0,500.0,3.0,2.0,500.0,2.0,
2005,1269.0,1.0,31.0,2.0,4.0,5.0,1.0,0.0,400.0,2.0,0.0,600.0,2.0,2.0
2005,1269.0,2.0,35.0,2.0,4.0,6.0,1.0,0.0,400.0,2.0,0.0,600.0,2.0,2.0
2005,1269.0,1.0,1.0,5.0,4.0,7.0,4.0,5.0,400.0,0.0,0.0,0.0,,
2005,1062.0,1.0,50.0,2.0,1.0,6.0,1.0,0.0,550.0,3.0,1.0,2200.0,2.0,6.0
2005,1062.0,2.0,47.0,2.0,1.0,6.0,3.0,4.0,550.0,0.0,0.0,0.0,,
2005,1062.0,2.0,18.0,5.0,1.0,3.0,3.0,3.0,550.0,0.0,0.0,0.0,,
2005,1062.0,2.0,16.0,5.0,1.0,3.0,3.0,3.0,550.0,0.0,0.0,0.0,,
2005,1230.0,2.0,57.0,4.0,1.0,4.0,1.0,0.0,1755.0,3.0,1.0,800.0,2.0,8.0
2005,1230.0,2.0,27.0,5.0,1.0,6.0,1.0,0.0,1755.0,3.0,1.0,2350.0,2.0,11.0
2005,1196.0,1.0,58.0,5.0,2.0,5.0,1.0,0.0,1500.0,2.0,0.0,1500.0,2.0,2.0
2005,1089.0,1.0,55.0,1.0,4.0,3.0,1.0,0.0,253.33333333333334,2.0,0.0,500.0,2.0,1.0
2005,1089.0,1.0,21.0,5.0,4.0,3.0,2.0,0.0,253.33333333333334,2.0,0.0,0.0,,
2005,1089.0,1.0,22.0,5.0,4.0,4.0,1.0,0.0,253.33333333333334,2.0,0.0,0.0,2.0,1.0
2005,1089.0,2.0,54.0,1.0,4.0,4.0,1.0,0.0,253.33333333333334,3.0,2.0,100.0,2.0,4.0
2005,1089.0,2.0,31.0,5.0,1.0,4.0,1.0,0.0,253.33333333333334,3.0,1.0,680.0,2.0,6.0
